keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count,total_rank
vitamin,45,20.8,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.21,21854.0,4,33.9
all skin,45,14.0,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.3,17320.0,4,30.3
gel,44,18.0,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.26,25614.0,4,32.6
lotion,43,17.0,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.33,60197.0,4,34.7
skin types,40,14.0,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.3,17320.0,4,31.0
fresh,40,10.0,"['Household Cleaners', 'Food', 'Skincare', 'Hair Care', 'Toilet Cleaners', 'Kitchen']",4.2,363.0,6,25.0
soft,39,15.8,"['Beauty', 'Toys', 'Food', 'Skincare', 'Hair Care', 'Clothing Women', 'Kitchen', 'Body Care']",4.32,34168.0,8,25.3
cotton,39,21.1,"['Clothing Women', 'Kitchen']",4.09,27979.0,2,36.7
socks,39,15.7,['Clothing Women'],4.08,6495.0,1,
spf pa,38,10.2,"['Beauty', 'Skincare', 'Sun Care']",4.22,19536.0,3,24.0
years,37,14.3,"['Pet Care', 'Books', 'Toys']",4.48,8459.0,3,35.0
toy,37,15.7,['Toys'],4.07,3928.0,1,
cleaning,37,17.9,"['Household Cleaners', 'Toilet Cleaners']",4.14,12150.0,2,36.5
disinfectant,37,14.9,"['Household Cleaners', 'Toilet Cleaners']",4.37,31259.0,2,28.1
boys,36,17.0,"['Jewellery', 'Toys']",3.98,704.0,2,32.0
cleaner liquid,36,16.9,"['Household Cleaners', 'Toilet Cleaners']",4.34,15172.0,2,32.099999999999994
niacinamide,35,18.0,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.2,21632.0,4,32.7
water,34,3.0,"['Beauty', 'Household Cleaners', 'Skincare', 'Hair Care', 'Sun Care', 'Kitchen']",4.23,3929.0,6,26.0
natural,32,13.0,"['Beauty', 'Household Cleaners', 'Pet Care', 'Food', 'Hair Care', 'Toilet Cleaners']",4.13,19448.0,6,24.0
shampoo,32,13.2,"['Beauty', 'Hair Care']",4.15,12593.0,2,30.3
control,32,18.0,"['Beauty', 'Toys', 'Pet Care', 'Skincare', 'Hair Care', 'Sun Care', 'Kitchen']",4.14,22612.0,7,28.5
lightweight,31,10.0,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.18,25946.0,4,25.0
healthy,31,18.5,"['Beauty', 'Books', 'Pet Care', 'Food', 'Skincare', 'Hair Care', 'Body Care']",4.3,37205.0,7,46.0
dog,31,23.0,"['Pet Care', 'Toys']",3.9,464.0,2,37.6
for dry,30,18.4,"['Beauty', 'Skincare', 'Hair Care', 'Sun Care', 'Kitchen', 'Body Care']",4.31,23980.0,6,39.4
removes,30,21.6,"['Beauty', 'Household Cleaners', 'Skincare', 'Hair Care', 'Toilet Cleaners']",4.16,13689.0,5,35.5
formula,30,15.3,"['Beauty', 'Skincare', 'Hair Care', 'Toilet Cleaners', 'Sun Care', 'Body Care']",4.13,25256.0,6,27.9
uva,30,16.0,"['Skincare', 'Sun Care']",4.27,11140.0,2,30.5
moisture,29,18.2,"['Beauty', 'Sun Care', 'Skincare', 'Hair Care', 'Clothing Women', 'Body Care']",4.34,33202.0,6,36.8
gift,28,18.0,"['Jewellery', 'Clothing Women', 'Toys']",4.08,473.0,3,35.0
wash,28,16.5,"['Beauty', 'Skincare', 'Body Care']",4.18,16874.0,3,29.2
cast,28,9.7,"['Beauty', 'Skincare', 'Sun Care']",4.2,17604.0,3,26.099999999999998
white cast,28,9.7,"['Beauty', 'Skincare', 'Sun Care']",4.2,17604.0,3,26.099999999999998
health,28,14.9,"['Pet Care', 'Food']",4.23,7745.0,2,24.9
bathroom,28,13.8,"['Household Cleaners', 'Toilet Cleaners']",4.12,10844.0,2,29.8
glass,27,19.2,"['Household Cleaners', 'Kitchen', 'Jewellery', 'Electronics']",4.08,20823.0,4,41.0
set for,27,12.9,"['Jewellery', 'Toys']",3.81,562.0,2,27.700000000000003
hyaluronic,27,11.9,"['Beauty', 'Skincare', 'Hair Care', 'Sun Care', 'Body Care']",4.29,23375.0,5,26.1
deep,27,17.2,"['Beauty', 'Skincare', 'Toilet Cleaners', 'Body Care']",4.34,41217.0,4,33.0
fragrance,27,12.8,"['Beauty', 'Household Cleaners', 'Pet Care', 'Toilet Cleaners', 'Sun Care', 'Body Care']",4.28,14236.0,6,31.1
spray,27,16.8,"['Hair Care', 'Household Cleaners', 'Toilet Cleaners', 'Sun Care']",4.16,2222.0,4,37.3
uvb,27,16.0,"['Skincare', 'Sun Care']",4.28,9486.0,2,29.5
uva uvb,27,16.0,"['Skincare', 'Sun Care']",4.28,9486.0,2,29.5
harpic,27,15.5,"['Household Cleaners', 'Toilet Cleaners']",4.37,21145.0,2,31.5
disinfectant toilet,27,15.3,"['Household Cleaners', 'Toilet Cleaners']",4.35,22780.0,2,28.6
smooth,26,13.0,"['Beauty', 'Skincare', 'Hair Care', 'Body Care']",4.23,23278.0,4,29.4
no white,26,9.7,"['Beauty', 'Skincare', 'Sun Care']",4.2,17604.0,3,26.599999999999998
soap,26,16.6,"['Beauty', 'Skincare', 'Household Cleaners', 'Body Care']",4.22,19855.0,4,30.6
cream,26,21.8,"['Beauty', 'Food', 'Skincare', 'Sun Care', 'Body Care']",4.3,26306.0,5,22.8
book,26,17.5,"['Books', 'Toys']",4.37,2556.0,2,32.7
adult,26,9.0,"['Pet Care', 'Toys']",4.25,44833.0,2,24.0
suitable,26,10.7,"['Skincare', 'Household Cleaners', 'Toilet Cleaners', 'Sun Care']",4.2,4681.0,4,25.2
